Ticker,Name,Price,"GICS Sector
","GICS Ind Name
","ROIC LF
","ROE LF
","Free Cash Flow Margin
","T12M EBITDA Mrgn LF
","Net Mrgn 5Yr Avg LF
","OPM LF
","GM LF
","Interest Coverage Ratio
","Debt/Equity LF
","Debt/Assets LF
","Modified Working Capital Turnover LF
","Inv Turnover LF
","A/R Trnovr LF
","Cash Conversion Cycle LF
","Cash Ratio LF
","Quick Ratio LF
","Curr Ratio LF
"
WAB UN Equity,Westinghouse Air Brake Technologies Corp,61.99,Industrials,Machinery,4.064642906,5.087356091,10.12439024,13.63965702,3.548104048,9.546528816,28.49603081,0,47.0541153,24.82237244,5.81121397,4.524094105,8.405546188,77.56154633,0.185451001,0.538398027,1.286710024
WABC UW Equity,Westamerica Bancorporation,56.43,Financials,Banks,11.21331692,11.93593502,37.5647643,--,38.99147034,52.67890167,--,0,6.571353912,0.855298996,--,--,--,--,--,--,--
WAL UN Equity,Western Alliance Bancorp,42.48,Financials,Banks,13.98592567,17.73105621,61.74759635,--,45.4064827,53.57673645,--,0,16.18796158,1.820709944,--,--,--,--,--,--,--
WAT UN Equity,Waters Corp,198.13,Health Care,Life Sciences Tools & Services,28.44400024,--,19.91460137,35.3093338,24.62982368,33.0055809,58.2478714,0,--,69.42240143,2.915317059,3.302294016,4.163481236,177.6290741,0.570141017,1.564053059,2.21954298
WBA UW Equity,Walgreens Boots Alliance Inc,48.49,Consumer Staples,Food & Staples Retailing,7.185617924,15.03145885,2.8436573,5.321224213,2.817801952,2.912141085,21.15087891,0,172.9733124,46.31250763,45.57611847,10.01431847,18.85067558,4.669209957,0.027496999,0.279581994,0.664677978
WBC UN Equity,WABCO Holdings Inc,134.99,Industrials,Machinery,14.97837257,19.53118706,8.625124218,14.39761543,8.166077614,6.265276909,27.19670677,0,64.80049896,23.05120087,4.858562946,7.939216137,5.637038231,79.01951599,1.678740025,2.655642986,3.349606037
WBS UN Equity,Webster Financial Corp,35.26,Financials,Banks,6.701063156,12.88338375,22.42208826,--,31.04805183,38.53439713,--,0,115.4592438,12.18738747,--,--,--,--,--,--,--
WBT UN Equity,Welbilt Inc,11.59,Industrials,Machinery,7.991327763,25.44378662,-19.04761905,15.74126434,4.062770844,9.795704842,34.88737488,0,570.513855,66.6605072,7.631793022,5.448276043,10.76595688,55.32536316,0.394506007,0.948687017,1.59643805
WCC UN Equity,WESCO International Inc,35.565,Industrials,Trading Companies & Distributors,7.246500969,10.15389729,2.156977991,5.765710831,2.707406044,3.991899014,18.56646347,0,68.34324646,30.76447487,6.215870857,6.914360046,7.101985931,60.83287048,0.139201,1.234490991,2.343425035
WD UN Equity,Walker & Dunlop Inc,66.35,Financials,Thrifts & Mortgage Finance,7.989428043,17.89367676,0,49.6907196,21.28977203,28.20848083,--,0,115.1404877,44.94053268,31.34349632,--,31.34349632,--,0.094324999,0.135082006,1.289157033
WDAY UW Equity,Workday Inc,164.35,Information Technology,Software,-13.72450638,-21.62766075,17.11796904,-1.382799983,-13.27333927,-14.96437073,70.83116913,0,63.13395309,23.03072166,4.850473881,--,4.584847927,--,0.654869974,0.950410008,1.042168975
WDC UW Equity,Western Digital Corp,57.88,Information Technology,"Technology Hardware, Storage & Peripherals",-4.610588074,-11.75890827,4.049731426,5.397253036,-8.570864677,1.180915952,22.08313751,0,107.5914307,39.02165604,4.873943806,3.922735929,8.888762474,82.15899658,0.699910998,1.099509001,1.924810052
WDR UN Equity,Waddell & Reed Financial Inc,13.845,Financials,Capital Markets,11.58097267,13.58952999,15.05751231,17.29659081,12.02076244,10.17807484,--,0,21.30244827,13.93051434,--,--,--,--,--,--,--
WEC UN Equity,WEC Energy Group Inc,103.44,Utilities,Multi-Utilities,5.450078011,11.39566803,1.125865667,32.74182129,13.9076376,18.64441681,64.41591644,0,124.5918884,36.55434036,8.496357918,4.879416943,6.122813225,12.91615295,0.011782,0.381437004,0.657805979
WELL UN Equity,Welltower Inc,76.22,Real Estate,Equity Real Estate Investment Trusts (REITs),3.964349985,8.368440628,-60.0633315,43.47580338,21.19452095,23.76265144,--,4.64,90.61540222,46.10071564,--,--,--,--,--,--,--
WERN UW Equity,Werner Enterprises Inc,33.14,Industrials,Road & Rail,11.99258423,14.05393887,0.239314755,19.64114189,7.102497101,10.55892086,18.68678474,0,28.05884361,14.54084778,9.836724281,210.9816132,7.310348988,34.40733337,0.085538998,1.14933002,1.509953022
WETF UW Equity,WisdomTree Investments Inc,3.91,Financials,Capital Markets,-472.0344238,-2.996778965,17.43087819,21.51727104,-6.250292778,21.49128532,--,0,42.27724075,21.24609756,15.17901897,--,10.19148731,--,1.167634964,1.507179976,1.556913972
WEX UN Equity,WEX Inc,171.9,Information Technology,IT Services,5.696374893,5.333449841,32.50646433,37.20330429,5.779576778,23.60167694,59.07577515,0,144.0779877,36.34584427,0.99613601,--,0.657230973,--,0.265884012,1.138394952,1.259819031
