                                                Industry Mean Price
31                      Health Care Equipment & Supplies            81.27722
32                      Health Care Providers & Services           141.64138
33                                Health Care Technology            48.20810
34                         Hotels, Restaurants & Leisure           342.52960
35                                    Household Durables            97.26268
36                                    Household Products           715.25322
37 Independent Power and Renewable Electricity Producers           238.13953
38                              Industrial Conglomerates           131.39900
39                                             Insurance            41.71257
40                          Interactive Media & Services            43.11549
41                    Internet & Direct Marketing Retail           102.82765
42                                           IT Services           135.51688
43                                      Leisure Products           343.51966
44                        Life Sciences Tools & Services            76.48824
45                                             Machinery            88.75544
46                                                Marine           134.29896
47                                                 Media           132.78764
48                                       Metals & Mining            84.15359
49        Mortgage Real Estate Investment Trusts (REITs)           524.12381
50                                       Multi-Utilities           140.78238
51                                      Multiline Retail           188.46554
52                           Oil, Gas & Consumable Fuels           110.46267
53                               Paper & Forest Products            85.11727
54                                     Personal Products            48.15069
55                                       Pharmaceuticals           137.71864
56                                 Professional Services           252.42787
57                  Real Estate Management & Development           106.13714
58                                           Road & Rail           237.60870
59              Semiconductors & Semiconductor Equipment            89.36667
60                                              Software            84.66904
61                                      Specialty Retail          1210.64057
62            Technology Hardware, Storage & Peripherals           177.59979
63                      Textiles, Apparel & Luxury Goods           126.91094
64                            Thrifts & Mortgage Finance           151.00858
65                                               Tobacco           476.06469
66                      Trading Companies & Distributors           161.46060
67                         Transportation Infrastructure            52.59943
68                                         Uncategorized           179.35273
69                                       Water Utilities           111.84159
70                   Wireless Telecommunication Services           162.49595

                                                Industry Mean Debt/Assets LF
1                                    Aerospace & Defense           26.854116
2                                Air Freight & Logistics           35.071914
3                                               Airlines           37.427352
4                                        Auto Components           25.077712
5                                            Automobiles           44.905538
6                                                  Banks            7.453104
7                                              Beverages           30.057782
8                                          Biotechnology           16.446060
9                                      Building Products           29.231082
10                                       Capital Markets           24.027940
11                                             Chemicals           35.861832
12                        Commercial Services & Supplies           42.506470
13                              Communications Equipment           22.975121
14                            Construction & Engineering           27.452108
15                                Construction Materials           38.295834
16                                      Consumer Finance           43.825203
17                                Containers & Packaging           44.308847
18                                          Distributors           36.735619
